MMSE_Score
PSQI_Score
PicSeq_Unadj
CardSort_Unadj
Flanker_Unadj
PMAT24_A_CR
PMAT24_A_RTCR
ReadEng_Unadj
PicVocab_Unadj
ProcSpeed_Unadj
DDisc_AUC_200
DDisc_AUC_40K
VSPLOT_CRTE
VSPLOT_OFF
SCPT_SEN
SCPT_SPEC
SCPT_TPRT
IWRD_TOT
IWRD_RTC
ListSort_Unadj
ER40_CR
ER40_CRT
AngAffect_Unadj
AngHostil_Unadj
AngAggr_Unadj
FearAffect_Unadj
FearSomat_Unadj
Sadness_Unadj
LifeSatisf_Unadj
MeanPurp_Unadj
PosAffect_Unadj
Friendship_Unadj
Loneliness_Unadj
PercHostil_Unadj
PercReject_Unadj
EmotSupp_Unadj
InstruSupp_Unadj
PercStress_Unadj
SelfEff_Unadj
Emotion_Task_Face_Acc
Emotion_Task_Face_Median_RT
Emotion_Task_Shape_Acc
Emotion_Task_Shape_Median_RT
Language_Task_Story_Acc
Language_Task_Story_Median_RT
Language_Task_Math_Acc
Language_Task_Math_Median_RT
Relational_Task_Match_Acc
Relational_Task_Match_Median_RT
Relational_Task_Rel_Acc
Relational_Task_Rel_Median_RT
Social_Task_TOM_Perc_TOM
Social_Task_TOM_Median_RT_TOM
WM_Task_Acc
WM_Task_Median_RT
Endurance_Unadj
GaitSpeed_Comp
Dexterity_Unadj
Strength_Unadj
NEOFAC_A
NEOFAC_O
NEOFAC_C
NEOFAC_N
NEOFAC_E
Noise_Comp
Odor_Unadj
PainIntens_RawScore
PainInterf_Tscore
Taste_Unadj
